,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22021,1630249,0022101222,"APR 10, 2022",OKC @ LAC,L,40,7,17,0.412,2,8,0.25,0,0,0.0,2,1,3,2,0,0,1,3,16,-50,1
1,22021,1630249,0022101211,"APR 08, 2022",OKC @ LAL,L,43,2,7,0.286,0,3,0.0,2,2,1.0,1,8,9,2,1,1,2,5,6,-22,1
2,22021,1630249,0022101194,"APR 06, 2022",OKC @ UTA,L,34,4,9,0.444,1,4,0.25,0,0,0.0,0,6,6,6,1,0,2,5,9,-21,1
3,22021,1630249,0022101185,"APR 05, 2022",OKC vs. POR,W,21,5,10,0.5,1,5,0.2,0,0,0.0,0,3,3,1,3,1,1,0,11,-8,1
4,22021,1630249,0022101174,"APR 03, 2022",OKC vs. PHX,W,37,5,15,0.333,0,5,0.0,1,1,1.0,1,5,6,8,0,1,1,3,11,16,1
5,22021,1630249,0022101157,"APR 01, 2022",OKC vs. DET,L,41,2,8,0.25,1,5,0.2,2,4,0.5,0,4,4,3,0,0,4,4,7,-14,1
6,22021,1630249,0022101143,"MAR 30, 2022",OKC vs. ATL,L,35,1,10,0.1,1,6,0.167,6,6,1.0,3,2,5,5,2,0,1,4,9,-19,1
7,22021,1630249,0022101130,"MAR 28, 2022",OKC @ POR,W,32,4,6,0.667,4,6,0.667,0,0,0.0,0,3,3,2,2,0,1,2,12,6,1
8,22021,1630249,0022101113,"MAR 26, 2022",OKC @ DEN,L,28,3,7,0.429,1,5,0.2,0,0,0.0,0,4,4,6,0,1,1,2,7,2,1
9,22021,1630249,0022101091,"MAR 23, 2022",OKC vs. ORL,W,27,4,6,0.667,4,6,0.667,0,0,0.0,0,11,11,2,0,0,2,1,12,20,1
10,22021,1630249,0022101078,"MAR 21, 2022",OKC vs. BOS,L,22,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,1,2,0,4,2,-10,1
11,22021,1630249,0022101065,"MAR 20, 2022",OKC @ ORL,L,32,3,5,0.6,1,2,0.5,1,2,0.5,0,5,5,1,2,0,1,4,8,-10,1
12,22021,1630249,0022101052,"MAR 18, 2022",OKC @ MIA,L,29,1,5,0.2,1,4,0.25,0,0,0.0,3,2,5,2,0,0,0,0,3,0,1
13,22021,1630249,0022101040,"MAR 16, 2022",OKC @ SAS,L,20,3,6,0.5,2,4,0.5,0,0,0.0,2,4,6,0,1,0,1,2,8,16,1
14,22021,1630249,0022101023,"MAR 14, 2022",OKC vs. CHA,L,15,4,7,0.571,4,6,0.667,0,0,0.0,1,2,3,2,0,0,2,2,12,-10,1
15,22021,1630249,0022101018,"MAR 13, 2022",OKC vs. MEM,L,20,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,1,2,3,0,8,1
16,22021,1630249,0022100986,"MAR 09, 2022",OKC @ MIN,L,25,3,6,0.5,1,4,0.25,2,2,1.0,1,1,2,1,1,0,2,2,9,-17,1
17,22021,1630249,0022100979,"MAR 08, 2022",OKC vs. MIL,L,19,2,4,0.5,1,3,0.333,1,1,1.0,1,0,1,2,1,0,0,2,6,-16,1
18,22021,1630249,0022100965,"MAR 06, 2022",OKC vs. UTA,L,20,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,1,0,0,3,6,1,1
19,22021,1630249,0022100951,"MAR 04, 2022",OKC vs. MIN,L,28,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,-31,1
20,22021,1630249,0022100938,"MAR 02, 2022",OKC @ DEN,W,21,3,5,0.6,3,3,1.0,0,0,0.0,1,3,4,0,0,1,1,3,9,-13,1
21,22021,1630249,0022100925,"FEB 28, 2022",OKC vs. SAC,L,29,4,12,0.333,0,6,0.0,2,2,1.0,1,4,5,2,1,0,1,4,10,-18,1
22,22021,1630249,0022100897,"FEB 25, 2022",OKC @ IND,W,18,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,0,3,0,6,1
23,22021,1630249,0022100893,"FEB 24, 2022",OKC vs. PHX,L,21,3,4,0.75,2,2,1.0,0,0,0.0,0,2,2,1,1,0,1,2,8,4,1
24,22021,1630249,0022100881,"FEB 16, 2022",OKC vs. SAS,L,8,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-4,1
25,22021,1630249,0022100860,"FEB 14, 2022",OKC @ NYK,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1,1
26,22021,1630249,0022100840,"FEB 11, 2022",OKC @ PHI,L,9,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,4,5,1
27,22021,1630249,0022100144,"NOV 07, 2021",OKC vs. SAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
28,22021,1630249,0022100023,"OCT 22, 2021",OKC @ HOU,L,6,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,0,2,-4,1
29,22021,1630249,0022100011,"OCT 20, 2021",OKC @ UTA,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1
