,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22021,1630568,0022101228,"APR 10, 2022",DET @ PHI,L,31,8,18,0.444,2,7,0.286,2,6,0.333,7,3,10,4,0,1,1,3,20,-22,1
1,22021,1630568,0022101073,"MAR 21, 2022",DET vs. POR,L,17,2,4,0.5,0,1,0.0,7,11,0.636,1,1,2,0,1,1,0,3,11,3,1
2,22021,1630568,0022100997,"MAR 11, 2022",DET @ BOS,L,2,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,5,1
3,22021,1630568,0022100838,"FEB 11, 2022",DET vs. CHA,L,4,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,3,1
4,22021,1630568,0022100831,"FEB 10, 2022",DET vs. MEM,L,10,3,6,0.5,1,1,1.0,0,0,0.0,2,1,3,0,0,0,1,2,7,8,1
5,22021,1630568,0022100617,"JAN 16, 2022",DET vs. PHX,L,7,2,3,0.667,1,1,1.0,0,0,0.0,0,3,3,0,0,0,1,1,5,-2,1
6,22021,1630568,0022100415,"JAN 11, 2022",DET @ CHI,L,10,2,6,0.333,0,1,0.0,2,4,0.5,2,0,2,0,0,2,0,0,6,-9,1
7,22021,1630568,0022100579,"JAN 06, 2022",DET @ MEM,L,18,3,8,0.375,1,4,0.25,1,1,1.0,1,3,4,3,0,0,0,1,8,9,1
8,22021,1630568,0022100567,"JAN 05, 2022",DET @ CHA,L,8,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,1,3,4,1
9,22021,1630568,0022100556,"JAN 03, 2022",DET @ MIL,W,15,2,5,0.4,0,1,0.0,0,0,0.0,3,1,4,1,0,0,3,4,4,3,1
10,22021,1630568,0022100540,"JAN 01, 2022",DET vs. SAS,W,40,7,12,0.583,1,2,0.5,5,8,0.625,9,5,14,0,1,0,3,4,20,15,1
11,22021,1630568,0022100516,"DEC 29, 2021",DET vs. NYK,L,39,1,10,0.1,1,4,0.25,1,2,0.5,4,5,9,2,1,1,0,2,4,14,1
12,22021,1630568,0022100498,"DEC 26, 2021",DET @ SAS,L,20,7,14,0.5,2,5,0.4,4,5,0.8,5,1,6,2,0,0,1,6,20,-17,1
13,22021,1630568,0022100479,"DEC 23, 2021",DET @ MIA,L,5,1,1,1.0,0,0,0.0,1,2,0.5,3,0,3,0,0,0,0,0,3,-11,1
14,22021,1630568,0022100466,"DEC 21, 2021",DET @ NYK,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
15,22021,1630568,0022100449,"DEC 19, 2021",DET vs. MIA,W,7,2,4,0.5,0,2,0.0,1,2,0.5,2,0,2,0,0,0,0,1,5,-1,1
16,22021,1630568,0022100441,"DEC 18, 2021",DET vs. HOU,L,9,4,6,0.667,1,2,0.5,0,2,0.0,3,0,3,0,0,0,1,2,9,-7,1
17,22021,1630568,0022100388,"DEC 10, 2021",DET @ NOP,L,3,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,0,3,8,1
18,22021,1630568,0022100354,"DEC 06, 2021",DET vs. OKC,L,4,1,4,0.25,0,0,0.0,0,0,0.0,3,1,4,0,0,0,0,2,2,-4,1
19,22021,1630568,0022100331,"DEC 02, 2021",DET @ PHX,L,4,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,2,1,-1,1
20,22021,1630568,0022100317,"NOV 30, 2021",DET @ POR,L,3,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,1,2,-1,1
21,22021,1630568,0022100280,"NOV 26, 2021",DET @ LAC,L,10,2,3,0.667,0,0,0.0,1,2,0.5,1,2,3,0,0,0,0,0,5,12,1
22,22021,1630568,0022100273,"NOV 24, 2021",DET @ MIL,L,23,2,7,0.286,0,2,0.0,2,2,1.0,2,3,5,0,0,0,0,1,6,-22,1
23,22021,1630568,0022100263,"NOV 23, 2021",DET vs. MIA,L,17,3,5,0.6,1,1,1.0,0,0,0.0,1,2,3,2,0,0,1,5,7,-6,1
24,22021,1630568,0022100231,"NOV 19, 2021",DET vs. GSW,L,7,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,-8,1
25,22021,1630568,0022100200,"NOV 15, 2021",DET vs. SAC,L,17,2,4,0.5,1,2,0.5,0,0,0.0,3,4,7,1,0,0,0,2,5,-4,1
26,22021,1630568,0022100176,"NOV 12, 2021",DET @ CLE,L,14,2,4,0.5,0,1,0.0,1,1,1.0,1,1,2,2,1,0,0,0,5,4,1
27,22021,1630568,0022100103,"NOV 02, 2021",DET vs. MIL,L,7,1,3,0.333,0,0,0.0,1,1,1.0,1,0,1,0,1,0,1,2,3,-4,1
28,22021,1630568,0022100092,"OCT 31, 2021",DET @ BKN,L,9,0,1,0.0,0,1,0.0,2,2,1.0,1,0,1,0,1,0,0,1,2,-4,1
29,22021,1630568,0022100065,"OCT 28, 2021",DET @ PHI,L,5,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,2,6,-9,1
30,22021,1630568,0022100043,"OCT 25, 2021",DET @ ATL,L,13,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,1,1,4,2,-22,1
31,22021,1630568,0022100030,"OCT 23, 2021",DET @ CHI,L,6,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,1,2,0,0,1,3,10,1
