,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22021,203076,0022101189,"APR 05, 2022",LAL @ PHX,L,36,10,18,0.556,0,2,0.0,1,2,0.5,1,12,13,1,1,1,2,0,21,-19,1
1,22021,203076,0022101168,"APR 03, 2022",LAL vs. DEN,L,35,11,25,0.44,0,0,0.0,6,6,1.0,1,8,9,8,2,3,2,0,28,-10,1
2,22021,203076,0022101160,"APR 01, 2022",LAL vs. NOP,L,37,8,17,0.471,1,2,0.5,6,9,0.667,0,12,12,6,1,0,2,4,23,4,1
3,22021,203076,0022100884,"FEB 16, 2022",LAL vs. UTA,W,17,7,9,0.778,1,1,1.0,2,2,1.0,1,1,2,2,1,2,0,1,17,-3,1
4,22021,203076,0022100854,"FEB 12, 2022",LAL @ GSW,L,35,5,13,0.385,0,1,0.0,6,10,0.6,2,5,7,4,0,3,0,3,16,-6,1
5,22021,203076,0022100829,"FEB 09, 2022",LAL @ POR,L,41,8,11,0.727,0,1,0.0,1,4,0.25,0,7,7,6,1,5,2,2,17,-1,1
6,22021,203076,0022100822,"FEB 08, 2022",LAL vs. MIL,L,37,8,10,0.8,0,0,0.0,6,10,0.6,4,5,9,4,1,3,1,2,22,-8,1
7,22021,203076,0022100799,"FEB 05, 2022",LAL vs. NYK,W,41,13,19,0.684,0,0,0.0,2,5,0.4,7,10,17,3,3,4,2,3,28,9,1
8,22021,203076,0022100786,"FEB 03, 2022",LAL @ LAC,L,38,12,24,0.5,0,2,0.0,6,7,0.857,7,10,17,2,2,2,1,2,30,-6,1
9,22021,203076,0022100781,"FEB 02, 2022",LAL vs. POR,W,37,10,18,0.556,0,0,0.0,10,14,0.714,3,12,15,2,0,3,3,5,30,2,1
10,22021,203076,0022100751,"JAN 30, 2022",LAL @ ATL,L,38,10,20,0.5,1,3,0.333,6,9,0.667,2,3,5,4,2,1,3,4,27,2,1
11,22021,203076,0022100733,"JAN 27, 2022",LAL @ PHI,L,34,14,21,0.667,0,1,0.0,3,3,1.0,3,9,12,1,2,4,3,4,31,-7,1
12,22021,203076,0022100718,"JAN 25, 2022",LAL @ BKN,W,25,3,8,0.375,0,1,0.0,2,2,1.0,1,1,2,2,1,4,1,4,8,-1,1
13,22021,203076,0022100436,"DEC 17, 2021",LAL @ MIN,L,20,4,7,0.571,0,1,0.0,1,1,1.0,0,1,1,0,0,1,3,2,9,-8,1
14,22021,203076,0022100420,"DEC 15, 2021",LAL @ DAL,W,39,8,18,0.444,0,3,0.0,4,5,0.8,0,12,12,2,0,0,6,4,20,21,1
15,22021,203076,0022100380,"DEC 09, 2021",LAL @ MEM,L,38,9,18,0.5,1,4,0.25,3,4,0.75,1,7,8,1,1,1,2,1,22,-2,1
16,22021,203076,0022100365,"DEC 07, 2021",LAL vs. BOS,W,35,7,13,0.538,0,0,0.0,3,4,0.75,4,12,16,3,2,2,3,3,17,17,1
17,22021,203076,0022100341,"DEC 03, 2021",LAL vs. LAC,L,36,10,15,0.667,0,2,0.0,7,11,0.636,5,5,10,4,0,1,2,2,27,-9,1
18,22021,203076,0022100318,"NOV 30, 2021",LAL @ SAC,W,35,12,22,0.545,0,2,0.0,1,2,0.5,2,5,7,3,2,2,1,2,25,10,1
19,22021,203076,0022100304,"NOV 28, 2021",LAL vs. DET,W,38,10,15,0.667,2,2,1.0,2,3,0.667,0,10,10,2,2,3,1,1,24,4,1
20,22021,203076,0022100291,"NOV 26, 2021",LAL vs. SAC,L,49,9,22,0.409,0,5,0.0,5,8,0.625,1,7,8,4,3,4,2,5,23,-16,1
21,22021,203076,0022100264,"NOV 23, 2021",LAL @ NYK,L,34,7,17,0.412,1,2,0.5,5,11,0.455,3,3,6,3,0,0,0,1,20,8,1
22,22021,203076,0022100249,"NOV 21, 2021",LAL @ DET,W,40,11,19,0.579,0,1,0.0,8,10,0.8,1,9,10,6,4,5,2,4,30,5,1
23,22021,203076,0022100232,"NOV 19, 2021",LAL @ BOS,L,37,12,21,0.571,0,3,0.0,7,9,0.778,1,5,6,2,0,3,1,2,31,-14,1
24,22021,203076,0022100219,"NOV 17, 2021",LAL @ MIL,L,37,9,15,0.6,0,1,0.0,0,0,0.0,2,7,9,4,0,2,1,4,18,5,1
25,22021,203076,0022100209,"NOV 15, 2021",LAL vs. CHI,L,28,6,9,0.667,0,0,0.0,8,9,0.889,1,5,6,1,1,0,4,1,20,-22,1
26,22021,203076,0022100192,"NOV 14, 2021",LAL vs. SAS,W,40,14,24,0.583,2,3,0.667,4,5,0.8,5,10,15,6,1,1,1,0,34,0,1
27,22021,203076,0022100184,"NOV 12, 2021",LAL vs. MIN,L,31,7,13,0.538,0,1,0.0,8,10,0.8,2,6,8,2,3,3,2,4,22,-16,1
28,22021,203076,0022100170,"NOV 10, 2021",LAL vs. MIA,W,45,10,23,0.435,1,2,0.5,3,4,0.75,5,8,13,4,1,1,4,3,24,-4,1
29,22021,203076,0022100154,"NOV 08, 2021",LAL vs. CHA,W,44,13,25,0.52,0,3,0.0,6,8,0.75,2,10,12,4,3,5,4,4,32,-1,1
30,22021,203076,0022100138,"NOV 06, 2021",LAL @ POR,L,7,1,5,0.2,0,0,0.0,0,0,0.0,3,0,3,0,0,0,0,1,2,-11,1
31,22021,203076,0022100123,"NOV 04, 2021",LAL vs. OKC,L,38,11,20,0.55,0,1,0.0,7,9,0.778,6,12,18,5,1,2,3,4,29,-14,1
32,22021,203076,0022100107,"NOV 02, 2021",LAL vs. HOU,W,32,11,18,0.611,0,3,0.0,5,8,0.625,1,8,9,3,3,3,4,2,27,-1,1
33,22021,203076,0022100093,"OCT 31, 2021",LAL vs. HOU,W,33,7,17,0.412,0,1,0.0,2,2,1.0,6,7,13,2,1,1,3,3,16,6,1
34,22021,203076,0022100077,"OCT 29, 2021",LAL vs. CLE,W,31,7,14,0.5,1,2,0.5,0,0,0.0,2,7,9,3,1,3,2,3,15,11,1
35,22021,203076,0022100061,"OCT 27, 2021",LAL @ OKC,L,37,12,22,0.545,0,1,0.0,6,7,0.857,4,4,8,2,1,0,2,1,30,-7,1
36,22021,203076,0022100053,"OCT 26, 2021",LAL @ SAS,W,42,15,31,0.484,0,4,0.0,5,6,0.833,7,10,17,4,0,4,2,2,35,3,1
37,22021,203076,0022100040,"OCT 24, 2021",LAL vs. MEM,W,34,8,15,0.533,1,3,0.333,5,7,0.714,3,5,8,2,0,4,3,1,22,-5,1
38,22021,203076,0022100025,"OCT 22, 2021",LAL vs. PHX,L,38,6,18,0.333,0,1,0.0,10,11,0.909,5,9,14,3,1,2,2,3,22,-6,1
39,22021,203076,0022100002,"OCT 19, 2021",LAL vs. GSW,L,39,15,26,0.577,1,5,0.2,2,7,0.286,2,9,11,2,1,2,0,0,33,-2,1
40,22020,203076,0022001072,"MAY 16, 2021",LAL @ NOP,W,30,5,12,0.417,0,3,0.0,4,6,0.667,0,5,5,1,1,0,1,0,14,12,1
41,22020,203076,0022001061,"MAY 15, 2021",LAL @ IND,W,36,9,18,0.5,1,4,0.25,9,10,0.9,2,8,10,5,2,0,1,1,28,9,1
42,22020,203076,0022001041,"MAY 11, 2021",LAL vs. NYK,W,43,8,23,0.348,0,1,0.0,4,5,0.8,0,6,6,4,1,0,3,2,20,7,1
43,22020,203076,0022001024,"MAY 09, 2021",LAL vs. PHX,W,41,13,27,0.481,1,5,0.2,15,17,0.882,3,9,12,5,3,3,3,1,42,26,1
44,22020,203076,0022001010,"MAY 07, 2021",LAL @ POR,L,39,12,23,0.522,2,3,0.667,10,15,0.667,3,9,12,5,0,1,3,1,36,-11,1
45,22020,203076,0022001002,"MAY 06, 2021",LAL @ LAC,L,9,2,9,0.222,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,-10,1
46,22020,203076,0022000982,"MAY 03, 2021",LAL vs. DEN,W,33,9,19,0.474,1,2,0.5,6,7,0.857,1,6,7,1,0,3,4,1,25,3,1
47,22020,203076,0022000974,"MAY 02, 2021",LAL vs. TOR,L,33,5,16,0.313,0,3,0.0,2,3,0.667,1,8,9,7,3,1,1,1,12,-11,1
48,22020,203076,0022000956,"APR 30, 2021",LAL vs. SAC,L,34,9,19,0.474,1,4,0.25,3,3,1.0,1,10,11,3,0,5,2,4,22,-8,1
49,22020,203076,0022000935,"APR 28, 2021",LAL @ WAS,L,31,10,20,0.5,2,5,0.4,4,6,0.667,1,4,5,2,3,2,3,3,26,-13,1
50,22020,203076,0022000917,"APR 26, 2021",LAL @ ORL,W,31,8,15,0.533,1,4,0.25,1,2,0.5,1,7,8,3,0,2,5,3,18,6,1
51,22020,203076,0022000908,"APR 24, 2021",LAL @ DAL,L,28,5,19,0.263,0,6,0.0,7,8,0.875,2,1,3,3,0,0,1,0,17,-19,1
52,22020,203076,0022000897,"APR 22, 2021",LAL @ DAL,L,17,2,10,0.2,0,1,0.0,0,2,0.0,0,4,4,1,1,1,1,0,4,-11,1
53,22020,203076,0022000416,"FEB 14, 2021",LAL @ DEN,L,14,5,11,0.455,0,1,0.0,5,5,1.0,2,2,4,1,0,0,0,1,15,-4,1
54,22020,203076,0022000403,"FEB 12, 2021",LAL vs. MEM,W,35,16,27,0.593,0,3,0.0,3,4,0.75,3,6,9,1,2,1,3,1,35,0,1
