,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21991,1449,0029100990,"APR 03, 1992",BOS @ IND,L,40,8,20,0.4,0,4.0,0.0,0,0,0.0,2.0,7.0,9,10,0.0,0.0,1.0,4,16,,0
1,21991,1449,0029100978,"APR 01, 1992",BOS vs. WAS,W,39,5,9,0.556,1,1.0,1.0,2,2,1.0,2.0,11.0,13,9,1.0,0.0,1.0,2,13,,0
2,21991,1449,0029100958,"MAR 29, 1992",BOS vs. ATL,W,35,9,15,0.6,2,5.0,0.4,0,0,0.0,1.0,9.0,10,7,1.0,1.0,3.0,1,20,,0
3,21991,1449,0029100946,"MAR 27, 1992",BOS vs. DET,W,39,6,18,0.333,2,4.0,0.5,7,7,1.0,1.0,5.0,6,7,1.0,1.0,0.0,1,21,,0
4,21991,1449,0029100929,"MAR 25, 1992",BOS @ NJN,W,42,9,12,0.75,3,3.0,1.0,4,5,0.8,1.0,8.0,9,9,1.0,2.0,3.0,3,25,,0
5,21991,1449,0029100914,"MAR 22, 1992",BOS vs. GOS,W,35,4,15,0.267,1,3.0,0.333,2,2,1.0,4.0,11.0,15,7,1.0,2.0,5.0,0,11,,0
6,21991,1449,0029100899,"MAR 20, 1992",BOS @ DET,W,41,8,21,0.381,2,4.0,0.5,3,3,1.0,1.0,11.0,12,8,1.0,0.0,4.0,1,21,,0
7,21991,1449,0029100886,"MAR 18, 1992",BOS vs. CLE,W,40,8,14,0.571,0,2.0,0.0,0,0,0.0,0.0,8.0,8,10,1.0,1.0,1.0,3,16,,0
8,21991,1449,0029100881,"MAR 17, 1992",BOS @ MIL,L,26,3,7,0.429,0,0.0,0.0,1,2,0.5,0.0,5.0,5,7,0.0,0.0,3.0,0,7,,0
9,21991,1449,0029100867,"MAR 15, 1992",BOS vs. POR,W,54,19,35,0.543,2,8.0,0.25,9,10,0.9,0.0,14.0,14,12,4.0,1.0,5.0,5,49,,0
10,21991,1449,0029100857,"MAR 13, 1992",BOS vs. NJN,L,41,10,25,0.4,0,4.0,0.0,8,9,0.889,0.0,7.0,7,6,1.0,0.0,5.0,2,28,,0
11,21991,1449,0029100840,"MAR 11, 1992",BOS @ CHI,L,36,4,15,0.267,0,0.0,0.0,2,2,1.0,0.0,4.0,4,6,2.0,0.0,4.0,2,10,,0
12,21991,1449,0029100835,"MAR 10, 1992",BOS @ MIA,L,36,2,7,0.286,0,2.0,0.0,5,5,1.0,0.0,11.0,11,8,0.0,2.0,2.0,1,9,,0
13,21991,1449,0029100817,"MAR 08, 1992",BOS @ ORL,W,32,5,9,0.556,3,5.0,0.6,2,2,1.0,0.0,9.0,9,6,1.0,0.0,3.0,2,15,,0
14,21991,1449,0029100809,"MAR 06, 1992",BOS vs. LAC,W,28,8,14,0.571,3,3.0,1.0,0,0,0.0,1.0,6.0,7,6,2.0,0.0,1.0,2,19,,0
15,21991,1449,0029100788,"MAR 04, 1992",BOS vs. ORL,W,29,6,15,0.4,1,3.0,0.333,4,4,1.0,0.0,14.0,14,5,0.0,2.0,3.0,3,17,,0
16,21991,1449,0029100770,"MAR 01, 1992",BOS vs. DAL,W,34,9,16,0.563,1,4.0,0.25,7,7,1.0,2.0,11.0,13,9,2.0,1.0,2.0,2,26,,0
17,21991,1449,0029100389,"DEC 30, 1991",BOS @ LAC,W,35,6,14,0.429,2,3.0,0.667,0,0,0.0,3.0,14.0,17,3,0.0,2.0,2.0,4,14,,0
18,21991,1449,0029100371,"DEC 28, 1991",BOS @ DEN,L,43,4,18,0.222,1,4.0,0.25,4,4,1.0,3.0,16.0,19,6,0.0,1.0,4.0,1,13,,0
19,21991,1449,0029100368,"DEC 27, 1991",BOS @ SEA,W,35,10,15,0.667,3,4.0,0.75,2,2,1.0,1.0,9.0,10,4,4.0,0.0,6.0,0,25,,0
20,21991,1449,0029100351,"DEC 25, 1991",BOS @ CHI,L,34,4,10,0.4,0,0.0,0.0,0,0,0.0,0.0,8.0,8,4,0.0,0.0,1.0,1,8,,0
21,21991,1449,0029100332,"DEC 21, 1991",BOS @ MIA,L,42,5,15,0.333,0,1.0,0.0,2,2,1.0,2.0,8.0,10,8,1.0,1.0,2.0,3,12,,0
22,21991,1449,0029100329,"DEC 20, 1991",BOS vs. UTH,W,38,7,16,0.438,3,5.0,0.6,3,4,0.75,1.0,6.0,7,5,1.0,2.0,5.0,1,20,,0
23,21991,1449,0029100315,"DEC 18, 1991",BOS vs. MIL,W,32,6,14,0.429,3,7.0,0.429,0,0,0.0,0.0,5.0,5,8,0.0,1.0,2.0,3,15,,0
24,21991,1449,0029100305,"DEC 17, 1991",BOS @ ORL,W,37,8,18,0.444,2,6.0,0.333,2,2,1.0,0.0,5.0,5,9,0.0,1.0,3.0,1,20,,0
25,21991,1449,0029100275,"DEC 13, 1991",BOS vs. SEA,W,38,11,19,0.579,0,3.0,0.0,6,6,1.0,0.0,5.0,5,8,0.0,0.0,3.0,3,28,,0
26,21991,1449,0029100252,"DEC 09, 1991",BOS vs. DEN,W,28,6,16,0.375,2,3.0,0.667,0,1,0.0,1.0,7.0,8,10,1.0,1.0,1.0,0,14,,0
27,21991,1449,0029100239,"DEC 06, 1991",BOS vs. NYK,W,43,8,20,0.4,1,2.0,0.5,14,14,1.0,1.0,11.0,12,7,0.0,0.0,3.0,1,31,,0
